Location,Date,Product_ID,Product_Name,Brand,Quantity (liters/kg),MRP,Total_Value,Shelf_Life (days),Storage_Condition,Production_Date,Expiration_Date,Quantity_Sold (liters/kg),Price_per_Unit (sold),Approx_Total_Revenue(INR),Customer_Location,Sales_Channel,Quantity_in_Stock (liters/kg)
Tamil Nadu,11/15/2021,8,Buttermilk,Sudha,948.97,48.5,46025.045,14,Refrigerated,11/2/2021,11/16/2021,568,43.84,24901.12,Jharkhand,Wholesale,380
West Bengal,10/19/2020,9,Paneer,Sudha,272.32,91.07,24800.1824,7,Refrigerated,9/6/2020,9/13/2020,237,90.1,21353.7,Karnataka,Retail,35
Delhi,8/12/2021,6,Curd,Raj,312.86,82.16,25704.5776,5,Refrigerated,7/27/2021,8/1/2021,171,84.4,14432.4,Chandigarh,Retail,141
Chandigarh,9/20/2022,7,Lassi,Raj,273.95,19.1,5232.445,12,Refrigerated,9/12/2022,9/24/2022,91,17.16,1561.56,Bihar,Retail,182
Rajasthan,8/25/2021,4,Yogurt,Amul,520.57,31.5,16397.955,28,Frozen,7/9/2021,8/6/2021,476,32.86,15641.36,West Bengal,Wholesale,44
Delhi,6/21/2022,4,Yogurt,Dodla Dairy,601.41,43.67,26263.5747,26,Frozen,6/16/2022,7/12/2022,351,39.29,13790.79,Madhya Pradesh,Online,250
Telangana,11/23/2020,9,Paneer,Amul,304.92,24.64,7513.2288,11,Refrigerated,10/2/2020,10/13/2020,284,22.2,6304.8,Uttar Pradesh,Wholesale,20
Delhi,12/28/2022,2,Butter,Mother Dairy,987.98,69,68170.62,36,Refrigerated,12/16/2022,1/21/2023,246,65.63,16144.98,Bihar,Online,741
Delhi,3/27/2022,8,Buttermilk,Amul,76.53,86.26,6601.4778,9,Refrigerated,2/15/2022,2/24/2022,35,88.21,3087.35,Jharkhand,Wholesale,41
West Bengal,8/10/2019,1,Milk,Sudha,513.42,76.65,39353.643,1,Polythene Packet,6/21/2019,6/22/2019,297,75.13,22313.61,Rajasthan,Retail,216
Uttar Pradesh,11/6/2020,9,Paneer,Raj,553.89,35.2,19496.928,13,Refrigerated,9/21/2020,10/4/2020,522,39.54,20639.88,Rajasthan,Retail,31
Delhi,5/6/2021,8,Buttermilk,Amul,801.45,57.51,46091.3895,12,Refrigerated,4/18/2021,4/30/2021,267,60.57,16172.19,Karnataka,Retail,534
Uttar Pradesh,7/2/2022,3,Cheese,Amul,616.33,45.7,28166.281,52,Refrigerated,6/3/2022,7/25/2022,402,42.62,17133.24,Jharkhand,Wholesale,214
Uttar Pradesh,2/13/2022,10,Ghee,Sudha,851.51,23.4,19925.334,135,Ambient,2/5/2022,6/20/2022,219,27.07,5928.33,West Bengal,Wholesale,632
Delhi,5/18/2019,4,Yogurt,Palle2patnam,299.28,34.4,10295.232,29,Frozen,3/30/2019,4/28/2019,277,31,8587,Chandigarh,Online,22
Karnataka,12/6/2021,3,Cheese,Britannia Industries,509.53,29.74,15153.4222,68,Frozen,11/6/2021,1/13/2022,195,31.99,6238.05,Chandigarh,Wholesale,314
Maharashtra,9/17/2019,3,Cheese,Britannia Industries,473.8,31.43,14891.534,49,Refrigerated,7/29/2019,9/16/2019,280,31.23,8744.4,Haryana,Retail,193
Telangana,8/12/2020,6,Curd,Raj,833.57,93.26,77738.7382,6,Refrigerated,8/11/2020,8/17/2020,805,91.05,73295.25,Bihar,Retail,28
West Bengal,5/14/2021,6,Curd,Mother Dairy,809.5,80.62,65261.89,7,Refrigerated,5/7/2021,5/14/2021,153,84.1,12867.3,Delhi,Online,656
Telangana,2/11/2019,10,Ghee,Sudha,114.7,75.55,8665.585,122,Ambient,1/10/2019,5/12/2019,22,74.7,1643.4,Delhi,Wholesale,92
Kerala,9/18/2019,2,Butter,Amul,140.43,53.43,7503.1749,35,Frozen,8/6/2019,9/10/2019,128,52.59,6731.52,Tamil Nadu,Wholesale,12
Delhi,9/15/2022,4,Yogurt,Mother Dairy,590.83,49.02,28962.4866,26,Frozen,7/17/2022,8/12/2022,435,49.51,21536.85,Chandigarh,Online,155
Uttar Pradesh,1/27/2019,10,Ghee,Sudha,792.59,59.56,47206.6604,106,Ambient,1/3/2019,4/19/2019,726,60.52,43937.52,Uttar Pradesh,Retail,66
Delhi,8/22/2021,3,Cheese,Passion Cheese,657.24,99.19,65191.6356,26,Frozen,6/25/2021,7/21/2021,631,100.45,63383.95,Jharkhand,Wholesale,26
Maharashtra,5/1/2020,4,Yogurt,Palle2patnam,239.22,21.33,5102.5626,26,Frozen,3/30/2020,4/25/2020,104,24.84,2583.36,Madhya Pradesh,Online,135
Chandigarh,9/16/2020,10,Ghee,Raj,768.63,32.55,25018.9065,125,Ambient,8/23/2020,12/26/2020,637,36.43,23205.91,Gujarat,Retail,131
Telangana,9/17/2019,5,Ice Cream,Amul,388.51,29.65,11519.3215,25,Frozen,8/21/2019,9/15/2019,198,26.72,5290.56,West Bengal,Retail,190
Bihar,4/27/2022,8,Buttermilk,Raj,397.33,32.39,12869.5187,9,Refrigerated,4/4/2022,4/13/2022,125,30.96,3870,Delhi,Online,272
Delhi,1/25/2021,5,Ice Cream,Dodla Dairy,34.61,72.6,2512.686,28,Frozen,12/17/2020,1/14/2021,24,73.86,1772.64,Bihar,Retail,10
Rajasthan,7/5/2019,2,Butter,Mother Dairy,168.98,13.18,2227.1564,28,Frozen,5/31/2019,6/28/2019,65,9.21,598.65,Telangana,Retail,103
Madhya Pradesh,3/14/2020,3,Cheese,Britannia Industries,37.63,36.46,1371.9898,40,Refrigerated,2/13/2020,3/24/2020,13,31.88,414.44,Tamil Nadu,Wholesale,24
Karnataka,7/22/2020,10,Ghee,Mother Dairy,265.64,42.34,11247.1976,133,Ambient,6/2/2020,10/13/2020,47,38.48,1808.56,Karnataka,Wholesale,218
Karnataka,1/15/2022,2,Butter,Mother Dairy,43.8,92.62,4056.756,26,Refrigerated,1/13/2022,2/8/2022,9,95.32,857.88,Maharashtra,Retail,34
Chandigarh,4/20/2022,6,Curd,Mother Dairy,410.79,66.24,27210.7296,5,Refrigerated,3/9/2022,3/14/2022,54,63.97,3454.38,Madhya Pradesh,Retail,356
Haryana,5/18/2022,7,Lassi,Mother Dairy,678.13,50.66,34354.0658,13,Refrigerated,4/28/2022,5/11/2022,526,49.4,25984.4,West Bengal,Online,152
Rajasthan,12/15/2019,9,Paneer,Mother Dairy,307.25,15.66,4811.535,11,Refrigerated,11/21/2019,12/2/2019,24,17.37,416.88,Madhya Pradesh,Online,283
Jharkhand,4/1/2021,9,Paneer,Sudha,131.11,98.36,12895.9796,9,Refrigerated,3/11/2021,3/20/2021,10,102.76,1027.6,Jharkhand,Wholesale,121
Bihar,12/1/2021,8,Buttermilk,Raj,792.68,77.24,61226.6032,10,Refrigerated,11/27/2021,12/7/2021,61,79.92,4875.12,Gujarat,Retail,731
Chandigarh,8/26/2022,5,Ice Cream,Mother Dairy,899.77,42.12,37898.3124,29,Frozen,6/29/2022,7/28/2022,509,43.16,21968.44,Delhi,Online,390
Maharashtra,11/16/2020,1,Milk,Raj,216.86,69.91,15160.6826,25,Tetra Pack,10/20/2020,11/14/2020,23,73.41,1688.43,Haryana,Online,193
Delhi,2/6/2020,7,Lassi,Mother Dairy,875.58,75.29,65922.4182,18,Refrigerated,2/2/2020,2/20/2020,42,73.5,3087,Rajasthan,Retail,833
Delhi,11/14/2019,9,Paneer,Mother Dairy,602.68,84.02,50637.1736,12,Refrigerated,11/5/2019,11/17/2019,312,82.4,25708.8,West Bengal,Wholesale,290
Bihar,1/27/2019,6,Curd,Mother Dairy,863.98,15.77,13624.9646,5,Refrigerated,12/19/2018,12/24/2018,105,15.86,1665.3,Bihar,Retail,758
Haryana,10/6/2021,10,Ghee,Sudha,434.35,39.28,17061.268,131,Ambient,8/14/2021,12/23/2021,75,39.66,2974.5,Kerala,Wholesale,359
Kerala,10/4/2022,7,Lassi,Amul,556.7,13.37,7443.079,17,Refrigerated,9/15/2022,10/2/2022,471,12.75,6005.25,Maharashtra,Online,85
Madhya Pradesh,6/4/2020,10,Ghee,Raj,388.15,76.7,29771.105,115,Ambient,5/5/2020,8/28/2020,387,77.97,30174.39,Chandigarh,Retail,1
Delhi,6/27/2020,10,Ghee,Raj,697.67,28.79,20085.9193,83,Ambient,5/1/2020,7/23/2020,186,28.39,5280.54,Madhya Pradesh,Online,511
Madhya Pradesh,4/24/2022,9,Paneer,Sudha,845.77,29.42,24882.5534,8,Refrigerated,3/7/2022,3/15/2022,672,25.45,17102.4,Chandigarh,Retail,173
Delhi,9/20/2020,8,Buttermilk,Mother Dairy,834.03,97.04,80934.2712,8,Refrigerated,9/15/2020,9/23/2020,85,98.75,8393.75,Tamil Nadu,Retail,749
Haryana,10/20/2022,7,Lassi,Amul,973.01,12.84,12493.4484,16,Refrigerated,10/12/2022,10/28/2022,286,11.32,3237.52,Maharashtra,Wholesale,687
Rajasthan,1/12/2022,7,Lassi,Mother Dairy,569.49,53.68,30570.2232,13,Refrigerated,12/11/2021,12/24/2021,204,56.13,11450.52,Maharashtra,Retail,365
Maharashtra,12/22/2022,1,Milk,Amul,362.17,80.86,29285.0662,29,Tetra Pack,10/24/2022,11/22/2022,284,80.5,22862,Bihar,Wholesale,78
Delhi,3/26/2021,3,Cheese,Dynamix Dairies,292.16,92.86,27129.9776,69,Refrigerated,1/31/2021,4/10/2021,177,88.29,15627.33,Haryana,Wholesale,115
Chandigarh,12/2/2020,6,Curd,Amul,287.82,78.94,22720.5108,7,Refrigerated,10/23/2020,10/30/2020,270,81.44,21988.8,West Bengal,Wholesale,17
Tamil Nadu,8/8/2022,4,Yogurt,Amul,78.61,51.29,4031.9069,25,Frozen,7/16/2022,8/10/2022,51,54.49,2778.99,Chandigarh,Retail,27
Madhya Pradesh,3/11/2022,5,Ice Cream,Mother Dairy,844.73,79.44,67105.3512,24,Frozen,1/11/2022,2/4/2022,766,82.88,63486.08,Chandigarh,Online,78
Chandigarh,12/15/2022,10,Ghee,Amul,426.48,93.08,39696.7584,115,Ambient,11/19/2022,3/14/2023,324,92.73,30044.52,Karnataka,Online,102
Kerala,9/14/2019,2,Butter,Mother Dairy,39.13,17.04,666.7752,36,Frozen,9/11/2019,10/17/2019,12,12.58,150.96,Uttar Pradesh,Online,27
Chandigarh,6/12/2021,8,Buttermilk,Sudha,778.77,93.25,72620.3025,13,Refrigerated,6/10/2021,6/23/2021,728,95.65,69633.2,Kerala,Online,50
Maharashtra,7/6/2022,4,Yogurt,Mother Dairy,530.22,78.1,41410.182,27,Refrigerated,7/3/2022,7/30/2022,301,73.22,22039.22,Gujarat,Wholesale,229
Haryana,8/24/2020,9,Paneer,Raj,371.6,39.71,14756.236,10,Refrigerated,7/21/2020,7/31/2020,165,36.83,6076.95,Maharashtra,Retail,206
Bihar,6/3/2022,8,Buttermilk,Mother Dairy,479.54,24.68,11835.0472,13,Refrigerated,5/8/2022,5/21/2022,43,24.14,1038.02,Kerala,Online,436
Gujarat,5/21/2021,8,Buttermilk,Mother Dairy,269.69,11.93,3217.4017,10,Refrigerated,3/26/2021,4/5/2021,77,15.44,1188.88,Delhi,Retail,192
Rajasthan,9/23/2021,2,Butter,Warana,53.34,46.38,2473.9092,25,Refrigerated,8/12/2021,9/6/2021,29,42.91,1244.39,Chandigarh,Online,24
Haryana,11/26/2020,5,Ice Cream,Mother Dairy,288.12,70.72,20375.8464,30,Frozen,10/5/2020,11/4/2020,63,71.88,4528.44,Chandigarh,Online,225
Rajasthan,1/14/2020,8,Buttermilk,Mother Dairy,102.05,52.36,5343.338,14,Refrigerated,11/28/2019,12/12/2019,16,50.56,808.96,West Bengal,Online,86
Tamil Nadu,2/16/2020,1,Milk,Amul,933.28,46.59,43481.5152,25,Tetra Pack,2/7/2020,3/3/2020,485,44.83,21742.55,Madhya Pradesh,Wholesale,448
Delhi,9/10/2022,3,Cheese,Passion Cheese,207.35,96.89,20090.1415,50,Frozen,8/23/2022,10/12/2022,67,97.48,6531.16,Gujarat,Wholesale,140
Jharkhand,3/3/2019,3,Cheese,Dynamix Dairies,387.24,61.66,23877.2184,51,Frozen,1/24/2019,3/16/2019,70,58.3,4081,Jharkhand,Wholesale,317
Delhi,7/15/2020,1,Milk,Mother Dairy,946.88,65.09,61632.4192,2,Polythene Packet,6/28/2020,6/30/2020,658,69.31,45605.98,Bihar,Wholesale,288
Chandigarh,5/22/2021,7,Lassi,Mother Dairy,113.75,67.47,7674.7125,15,Refrigerated,4/19/2021,5/4/2021,42,67.63,2840.46,Rajasthan,Retail,71
Rajasthan,7/22/2022,5,Ice Cream,Amul,648.17,50.34,32628.8778,26,Frozen,6/30/2022,7/26/2022,155,48.09,7453.95,Haryana,Retail,493
Maharashtra,8/1/2022,2,Butter,Mother Dairy,335.63,80.81,27122.2603,29,Frozen,7/5/2022,8/3/2022,241,84.86,20451.26,Karnataka,Online,94
Tamil Nadu,1/4/2022,4,Yogurt,Amul,335.77,72.01,24178.7977,25,Refrigerated,11/26/2021,12/21/2021,302,69.31,20931.62,Kerala,Retail,33
Haryana,10/19/2022,8,Buttermilk,Sudha,140.5,24.08,3383.24,11,Refrigerated,10/6/2022,10/17/2022,1,27.5,27.5,West Bengal,Wholesale,139
Rajasthan,12/23/2021,8,Buttermilk,Amul,201.45,23.66,4766.307,14,Refrigerated,11/26/2021,12/10/2021,193,19.21,3707.53,Tamil Nadu,Online,8
Delhi,1/20/2019,2,Butter,Parag Milk Foods,210.36,80.1,16849.836,38,Refrigerated,12/2/2018,1/9/2019,197,83.02,16354.94,Bihar,Retail,13
Delhi,4/8/2020,7,Lassi,Sudha,53.88,29.07,1566.2916,16,Refrigerated,3/27/2020,4/12/2020,6,29.66,177.96,Uttar Pradesh,Online,47
Bihar,3/22/2019,9,Paneer,Amul,4.71,50.15,236.2065,14,Refrigerated,3/14/2019,3/28/2019,2,54.01,108.02,Chandigarh,Wholesale,2
Tamil Nadu,6/28/2019,7,Lassi,Raj,368.47,43.71,16105.8237,13,Refrigerated,6/15/2019,6/28/2019,36,40.43,1455.48,Haryana,Retail,332
Tamil Nadu,6/3/2019,5,Ice Cream,Palle2patnam,475.07,26.14,12418.3298,23,Frozen,5/10/2019,6/2/2019,218,28.05,6114.9,Haryana,Retail,257
Delhi,1/6/2020,4,Yogurt,Palle2patnam,251.73,80.55,20276.8515,24,Refrigerated,12/10/2019,1/3/2020,107,76.53,8188.71,Maharashtra,Retail,144
Bihar,8/10/2020,4,Yogurt,Dodla Dairy,836.24,69.41,58043.4184,23,Refrigerated,6/26/2020,7/19/2020,127,70.15,8909.05,Delhi,Online,709
Delhi,2/6/2022,3,Cheese,Amul,593.95,57.09,33908.6055,69,Refrigerated,12/26/2021,3/5/2022,71,52.51,3728.21,Bihar,Wholesale,522
Madhya Pradesh,2/9/2021,2,Butter,Warana,65.85,54.62,3596.727,36,Frozen,1/24/2021,3/1/2021,13,52.51,682.63,Tamil Nadu,Retail,52
Jharkhand,1/28/2021,8,Buttermilk,Amul,868.06,68.4,59375.304,14,Refrigerated,12/4/2020,12/18/2020,494,70.12,34639.28,Jharkhand,Retail,374
Madhya Pradesh,2/26/2019,7,Lassi,Mother Dairy,59.17,68.23,4037.1691,14,Refrigerated,1/2/2019,1/16/2019,45,71.74,3228.3,Rajasthan,Wholesale,14
Tamil Nadu,8/4/2019,10,Ghee,Sudha,888.11,71.54,63535.3894,138,Ambient,7/23/2019,12/8/2019,353,68.14,24053.42,Kerala,Wholesale,535
Karnataka,4/16/2022,4,Yogurt,Amul,148.85,32.46,4831.671,28,Frozen,4/12/2022,5/10/2022,138,33.61,4638.18,Uttar Pradesh,Wholesale,10
Maharashtra,4/25/2020,7,Lassi,Amul,698.34,72.75,50804.235,15,Refrigerated,4/7/2020,4/22/2020,488,72.56,35409.28,Maharashtra,Retail,210
Gujarat,8/20/2020,8,Buttermilk,Mother Dairy,839.68,36.59,30723.8912,11,Refrigerated,7/27/2020,8/7/2020,301,40.62,12226.62,Bihar,Online,538
Karnataka,3/13/2019,10,Ghee,Sudha,615.81,17.43,10733.5683,143,Ambient,3/6/2019,7/27/2019,322,14.47,4659.34,Tamil Nadu,Wholesale,293
Uttar Pradesh,3/9/2021,3,Cheese,Amul,338.79,84.66,28681.9614,55,Frozen,1/29/2021,3/25/2021,32,83.14,2660.48,Delhi,Online,306
Delhi,12/13/2022,3,Cheese,Passion Cheese,100.26,14.47,1450.7622,88,Refrigerated,12/3/2022,3/1/2023,8,9.96,79.68,Telangana,Retail,92
Bihar,10/10/2021,10,Ghee,Sudha,742.3,83.62,62071.126,104,Ambient,9/10/2021,12/23/2021,57,85.71,4885.47,Bihar,Wholesale,685
West Bengal,4/18/2019,8,Buttermilk,Mother Dairy,642.65,93.66,60190.599,12,Refrigerated,4/5/2019,4/17/2019,518,91.36,47324.48,Bihar,Wholesale,124
Telangana,9/24/2021,6,Curd,Sudha,845.79,38.34,32427.5886,6,Refrigerated,8/27/2021,9/2/2021,708,41.03,29049.24,West Bengal,Online,137
Karnataka,1/19/2022,2,Butter,Mother Dairy,522.76,85.78,44842.3528,26,Refrigerated,12/15/2021,1/10/2022,424,81.71,34645.04,Maharashtra,Wholesale,98
Chandigarh,3/24/2021,7,Lassi,Mother Dairy,450.59,47.43,21371.4837,15,Refrigerated,3/8/2021,3/23/2021,8,44.5,356,Rajasthan,Wholesale,442
Telangana,10/14/2020,6,Curd,Amul,695.02,49.56,34445.1912,7,Refrigerated,9/29/2020,10/6/2020,285,45.74,13035.9,Kerala,Retail,410
Tamil Nadu,2/13/2019,6,Curd,Sudha,775.56,91.21,70738.8276,6,Refrigerated,2/9/2019,2/15/2019,287,94.56,27138.72,Bihar,Retail,488
Madhya Pradesh,12/24/2022,2,Butter,Warana,412.57,25.11,10359.6327,29,Frozen,12/22/2022,1/20/2023,304,27.85,8466.4,Uttar Pradesh,Retail,108
Chandigarh,9/22/2021,5,Ice Cream,Mother Dairy,27.64,27.1,749.044,21,Frozen,7/30/2021,8/20/2021,21,28.69,602.49,Delhi,Wholesale,6
Chandigarh,2/5/2020,8,Buttermilk,Raj,87.89,92,8085.88,7,Refrigerated,1/17/2020,1/24/2020,45,94.57,4255.65,Tamil Nadu,Online,42
Gujarat,2/28/2019,3,Cheese,Dynamix Dairies,568.77,36.58,20805.6066,64,Frozen,2/14/2019,4/19/2019,397,34.52,13704.44,Maharashtra,Wholesale,171
Bihar,5/15/2019,1,Milk,Amul,618.02,63.42,39194.8284,29,Tetra Pack,4/20/2019,5/19/2019,605,59.26,35852.3,Chandigarh,Wholesale,13
Delhi,9/10/2022,1,Milk,Raj,866.01,52.41,45387.5841,29,Tetra Pack,8/22/2022,9/20/2022,625,54.67,34168.75,Kerala,Retail,241
Delhi,6/7/2020,10,Ghee,Mother Dairy,401.31,21.99,8824.8069,91,Ambient,5/4/2020,8/3/2020,96,26.04,2499.84,Tamil Nadu,Retail,305
Madhya Pradesh,1/16/2020,4,Yogurt,Dodla Dairy,935.28,44.12,41264.5536,24,Frozen,1/11/2020,2/4/2020,443,46.39,20550.77,Madhya Pradesh,Online,492
Chandigarh,12/17/2021,5,Ice Cream,Mother Dairy,646.52,73.27,47370.5204,26,Frozen,11/27/2021,12/23/2021,636,69.79,44386.44,Chandigarh,Retail,10
Uttar Pradesh,5/6/2020,10,Ghee,Amul,300.72,11.32,3404.1504,65,Ambient,3/15/2020,5/19/2020,26,15.57,404.82,Jharkhand,Online,274
Rajasthan,10/2/2019,9,Paneer,Sudha,694.53,58.57,40678.6221,11,Refrigerated,9/14/2019,9/25/2019,310,57.7,17887,Chandigarh,Wholesale,384
Madhya Pradesh,1/11/2021,8,Buttermilk,Raj,615.92,88.87,54736.8104,11,Refrigerated,11/27/2020,12/8/2020,539,89.44,48208.16,Delhi,Online,76
West Bengal,2/6/2021,7,Lassi,Mother Dairy,722.84,96.16,69508.2944,14,Refrigerated,1/25/2021,2/8/2021,211,92.15,19443.65,Telangana,Retail,511
Uttar Pradesh,11/14/2019,2,Butter,Mother Dairy,838.32,10.89,9129.3048,29,Frozen,10/1/2019,10/30/2019,163,13.1,2135.3,Chandigarh,Wholesale,675
Chandigarh,9/8/2020,4,Yogurt,Mother Dairy,952.37,42.22,40209.0614,28,Frozen,9/2/2020,9/30/2020,849,45.82,38901.18,Telangana,Wholesale,103
Bihar,9/7/2021,8,Buttermilk,Mother Dairy,516.61,86.24,44552.4464,7,Refrigerated,7/22/2021,7/29/2021,277,88.22,24436.94,Uttar Pradesh,Online,239
Chandigarh,3/11/2020,8,Buttermilk,Sudha,475.2,18.28,8686.656,8,Refrigerated,2/19/2020,2/27/2020,22,23.06,507.32,Gujarat,Wholesale,453
Delhi,9/28/2020,7,Lassi,Mother Dairy,822.04,39.35,32347.274,15,Refrigerated,9/23/2020,10/8/2020,258,38.59,9956.22,Karnataka,Online,564
Karnataka,6/12/2020,9,Paneer,Mother Dairy,563.42,16.08,9059.7936,11,Refrigerated,5/30/2020,6/10/2020,146,15.02,2192.92,Gujarat,Retail,417
Chandigarh,11/25/2019,9,Paneer,Amul,656.11,60.51,39701.2161,14,Refrigerated,11/9/2019,11/23/2019,578,59.43,34350.54,Chandigarh,Retail,78
Jharkhand,5/17/2021,4,Yogurt,Mother Dairy,560.31,22.6,12663.006,29,Frozen,4/20/2021,5/19/2021,545,22.12,12055.4,Maharashtra,Wholesale,15
Haryana,11/8/2021,5,Ice Cream,Dodla Dairy,67.1,65.38,4386.998,27,Frozen,9/16/2021,10/13/2021,18,64.04,1152.72,Bihar,Wholesale,49
Karnataka,6/13/2020,1,Milk,Raj,87.55,38.7,3388.185,1,Polythene Packet,5/25/2020,5/26/2020,77,34.09,2624.93,Delhi,Online,10
Uttar Pradesh,7/3/2019,1,Milk,Mother Dairy,820.49,77.2,63341.828,1,Polythene Packet,5/6/2019,5/7/2019,299,75.52,22580.48,West Bengal,Online,521
Telangana,9/14/2022,3,Cheese,Britannia Industries,916.96,81.66,74878.9536,31,Refrigerated,8/19/2022,9/19/2022,552,85.86,47394.72,Tamil Nadu,Wholesale,364
Karnataka,10/10/2022,10,Ghee,Sudha,189.68,37.06,7029.5408,100,Ambient,9/6/2022,12/15/2022,108,32.62,3522.96,Haryana,Online,81
Delhi,10/2/2019,10,Ghee,Mother Dairy,657.18,30.69,20168.8542,136,Ambient,9/27/2019,2/10/2020,412,32.2,13266.4,Telangana,Retail,245
Karnataka,6/3/2022,3,Cheese,Britannia Industries,62.08,87.72,5445.6576,67,Refrigerated,5/27/2022,8/2/2022,6,89.33,535.98,Maharashtra,Retail,56
Chandigarh,10/3/2022,2,Butter,Warana,919.93,46.33,42620.3569,40,Frozen,9/22/2022,11/1/2022,209,51.25,10711.25,Chandigarh,Online,710
Madhya Pradesh,10/1/2021,10,Ghee,Raj,739.51,23.64,17482.0164,66,Ambient,8/31/2021,11/5/2021,327,24.3,7946.1,Jharkhand,Wholesale,412
Karnataka,6/18/2022,1,Milk,Raj,668.48,55.16,36873.3568,28,Tetra Pack,4/23/2022,5/21/2022,359,50.52,18136.68,Chandigarh,Retail,309
Tamil Nadu,10/18/2022,6,Curd,Amul,503.15,37.16,18697.054,7,Refrigerated,9/26/2022,10/3/2022,485,33.24,16121.4,Chandigarh,Retail,18
Haryana,9/16/2022,2,Butter,Amul,266.12,17.92,4768.8704,32,Frozen,7/19/2022,8/20/2022,225,18.7,4207.5,Haryana,Retail,41
Jharkhand,4/13/2019,7,Lassi,Mother Dairy,12.85,40.98,526.593,16,Refrigerated,2/27/2019,3/15/2019,7,43.31,303.17,Madhya Pradesh,Online,5
Madhya Pradesh,6/19/2021,5,Ice Cream,Dodla Dairy,170.78,30.55,5217.329,22,Frozen,6/3/2021,6/25/2021,89,28.1,2500.9,Bihar,Online,81
Uttar Pradesh,3/14/2020,3,Cheese,Amul,229.37,58.8,13486.956,53,Refrigerated,1/29/2020,3/22/2020,150,60.94,9141,Maharashtra,Retail,79
Chandigarh,12/26/2019,9,Paneer,Raj,872.22,58.57,51085.9254,13,Refrigerated,12/18/2019,12/31/2019,278,62.19,17288.82,Haryana,Online,594
Maharashtra,3/13/2019,5,Ice Cream,Mother Dairy,233.35,24.66,5754.411,29,Frozen,2/13/2019,3/14/2019,202,26.64,5381.28,Haryana,Wholesale,31
Rajasthan,7/11/2019,8,Buttermilk,Mother Dairy,802.06,12.7,10186.162,8,Refrigerated,6/8/2019,6/16/2019,687,13.76,9453.12,Chandigarh,Retail,115
Tamil Nadu,11/17/2022,8,Buttermilk,Amul,591.36,95.16,56273.8176,13,Refrigerated,10/23/2022,11/5/2022,316,99.2,31347.2,Gujarat,Wholesale,275
Kerala,3/24/2020,1,Milk,Raj,782.62,33.75,26413.425,1,Polythene Packet,2/18/2020,2/19/2020,326,29.93,9757.18,Tamil Nadu,Wholesale,456
Delhi,1/13/2021,6,Curd,Raj,170.75,94.88,16200.76,5,Refrigerated,1/10/2021,1/15/2021,59,96.9,5717.1,Bihar,Wholesale,111
Bihar,1/6/2021,2,Butter,Mother Dairy,196.55,78.27,15383.9685,35,Frozen,12/14/2020,1/18/2021,157,74.43,11685.51,Delhi,Wholesale,39
Gujarat,3/11/2019,2,Butter,Amul,151.17,93.21,14090.5557,25,Refrigerated,2/6/2019,3/3/2019,112,96.44,10801.28,Bihar,Retail,39
Delhi,2/27/2021,9,Paneer,Sudha,17.98,93.13,1674.4774,7,Refrigerated,1/2/2021,1/9/2021,7,92.39,646.73,Maharashtra,Retail,10
Chandigarh,9/7/2021,4,Yogurt,Dodla Dairy,571.41,27.67,15810.9147,30,Refrigerated,9/1/2021,10/1/2021,267,28.44,7593.48,Karnataka,Online,304
Bihar,2/2/2021,3,Cheese,Amul,531.48,43.59,23167.2132,61,Frozen,1/20/2021,3/22/2021,342,42.04,14377.68,Haryana,Wholesale,189
Uttar Pradesh,2/1/2020,1,Milk,Raj,261.64,77.83,20363.4412,1,Polythene Packet,1/17/2020,1/18/2020,187,78.58,14694.46,Maharashtra,Online,74
Haryana,12/26/2019,7,Lassi,Amul,706.92,86.99,61494.9708,16,Refrigerated,11/21/2019,12/7/2019,122,88.32,10775.04,Delhi,Online,584
Delhi,6/12/2022,9,Paneer,Sudha,417.44,23.8,9935.072,10,Refrigerated,5/20/2022,5/30/2022,203,25.54,5184.62,Tamil Nadu,Retail,214
Delhi,11/22/2022,10,Ghee,Sudha,326.74,88.75,28998.175,135,Ambient,10/21/2022,3/5/2023,138,86.24,11901.12,Karnataka,Wholesale,188
Karnataka,10/12/2019,9,Paneer,Mother Dairy,509.23,61.89,31516.2447,14,Refrigerated,10/9/2019,10/23/2019,373,66.35,24748.55,Delhi,Online,136
Delhi,2/14/2022,5,Ice Cream,Palle2patnam,829.99,19.37,16076.9063,27,Frozen,1/5/2022,2/1/2022,48,21.21,1018.08,Bihar,Online,781
Jharkhand,4/2/2020,6,Curd,Amul,349.63,29.51,10317.5813,7,Refrigerated,2/20/2020,2/27/2020,198,28.49,5641.02,Delhi,Online,151
Telangana,9/2/2019,2,Butter,Amul,226.32,40.04,9061.8528,32,Refrigerated,8/24/2019,9/25/2019,84,38.89,3266.76,Rajasthan,Online,142
Bihar,7/16/2022,8,Buttermilk,Mother Dairy,656.49,18.29,12007.2021,13,Refrigerated,5/30/2022,6/12/2022,459,19.72,9051.48,Karnataka,Retail,197
Karnataka,4/14/2022,7,Lassi,Sudha,537.89,91.92,49442.8488,13,Refrigerated,3/6/2022,3/19/2022,182,94.75,17244.5,Gujarat,Online,355
Telangana,9/1/2020,4,Yogurt,Amul,983.89,45.8,45062.162,27,Refrigerated,8/3/2020,8/30/2020,495,48.75,24131.25,Karnataka,Wholesale,488
